,Time,Notifier,H,M,R,S_Location,Special,Domain,OS,View
0,2019-07-31,Mister Spy,0,0,0,Ireland,0,www.marckollaart.nl//def.php,Linux,mirror
1,2019-07-31,Mister Spy,0,0,0,Netherlands,0,www.lotboes.nl//def.php,Linux,mirror
2,2019-07-31,Mister Spy,0,0,0,Netherlands,0,www.betamacx.nl//def.php,Linux,mirror
3,2019-07-31,Mister Spy,0,0,0,Netherlands,0,nooitmeerwatvangehoord.nl//def...,Linux,mirror
4,2019-07-31,Mister Spy,0,0,0,Netherlands,0,maxboes.nl//def.php,Linux,mirror
5,2019-07-25,TeaM_CC,0,0,1,Netherlands,0,www.kentcollege.nl/images/terr...,Linux,mirror
6,2019-07-21,Mr.Hydra,0,0,1,Belgium,0,www.seniorennet.nl/Images/Maga...,Linux,mirror
7,2019-07-20,star,H,0,0,Netherlands,0,www.selecthotel.nl,Linux,mirror
8,2019-07-16,Mr.Hydra,0,0,0,Netherlands,0,watmoetikaanvandaag.nl/mampird...,Linux,mirror
9,2019-07-16,Mr.Hydra,0,0,1,Netherlands,0,rayofled.nl/mampirdilut.htm,Linux,mirror
10,2019-07-16,Mr.Hydra,0,0,1,Netherlands,0,peertjekinderschoenen.nl/mampi...,Linux,mirror
11,2019-07-16,Mr.Hydra,0,0,1,Netherlands,0,pallethal.nl/mampirdilut.htm,Linux,mirror
12,2019-07-16,Mr.Hydra,0,0,0,Netherlands,0,opuspower.nl/mampirdilut.htm,Linux,mirror
13,2019-07-16,Mr.Hydra,0,0,0,Netherlands,0,mijnborrelboot.nl/mampirdilut.htm,Linux,mirror
14,2019-07-16,Mr.Hydra,0,0,1,Netherlands,0,micksmix.nl/mampirdilut.htm,Linux,mirror
15,2019-07-16,Mr.Hydra,0,0,0,Netherlands,0,ilredipuglia.nl/mampirdilut.htm,Linux,mirror
16,2019-07-16,Mr.Hydra,0,0,1,Netherlands,0,hotel-savenije.nl/mampirdilut.htm,Linux,mirror
17,2019-07-16,Mr.Hydra,0,0,1,Netherlands,0,hetpeertje.nl/mampirdilut.htm,Linux,mirror
18,2019-07-16,Mr.Hydra,0,0,1,Netherlands,0,geversleuvenhout.nl/mampirdilu...,Linux,mirror
19,2019-07-16,MiSh,0,0,0,Germany,0,cosmeticagroothandel.nl/images...,Linux,mirror
20,2019-07-06,XB34N'Z,0,0,0,Netherlands,0,www.aim.humanities.uva.nl//1k.php,Linux,mirror
21,2019-06-24,Mr.Rm19,0,0,0,Netherlands,0,blog.hankejohannes.nl/readsir....,Linux,mirror
22,2019-06-21,Dx_Cyber,0,0,0,United Kingdom,0,mailer.noprotocol.nl/admin/temp,Linux,mirror
23,2019-06-21,Mr.xBarakuda,H,0,0,Netherlands,0,dems.duraserve.nl,Linux,mirror
24,2019-06-21,Mr.xBarakuda,0,0,0,Netherlands,0,emailmarketing.nextstepmedia.n...,Linux,mirror
25,2019-06-17,Raymond7,0,0,1,Netherlands,0,drentshout.nl/monkey.html,Linux,mirror
26,2019-06-17,Q8Hell,0,0,0,Netherlands,0,www.condar.nl//images/file.jpg,Linux,mirror
27,2019-06-13,Jax_BCD,0,0,0,Germany,0,joomla.zielmandeveldebv.nl/ind...,Linux,mirror
28,2019-06-09,BD GREY HAT HACKERS,0,0,1,Netherlands,0,dehandigemannen.nl/uncategoriz...,Unknown,mirror
29,2019-06-09,Guardiran Security Team,0,0,1,Netherlands,0,blog.larsgroot.nl/buchrezensio...,Linux,mirror
