,Time,Notifier,H,M,R,S_Location,Special,Domain,OS,View
0,2019-03-31,mhamdi_jeber,0,0,0,United States,0,www.recruitmentsystemen.nl/js.php,Linux,mirror
1,2019-03-31,BANGLADESH CYBER GHO5T,H,0,0,Netherlands,0,www.cumulusit.nl,Linux,mirror
2,2019-03-31,BANGLADESH CYBER GHO5T,H,0,0,Netherlands,0,inskill.nl,Linux,mirror
3,2019-03-30,mhamdi_jeber,0,0,0,Netherlands,0,www.ondernemersscherpenzeel.nl...,Linux,mirror
4,2019-03-29,KURD ELECTRONIC TEAM,0,0,0,Netherlands,0,www.chaletlaplagne.nl/rx.html,Linux,mirror
5,2019-03-28,ManToed,0,M,0,United States,0,rokinvest.nl/tod.txt,Linux,mirror
6,2019-03-27,AyyÄ±ldÄ±z Tim,H,0,0,Netherlands,0,www.iphone-reparatie-twente.nl,Linux,mirror
7,2019-03-26,chinafans,0,M,0,Netherlands,0,ps4-sense.nl/o.htm,Linux,mirror
8,2019-03-26,chinafans,0,M,0,Netherlands,0,xbox-sense.nl/o.htm,Linux,mirror
9,2019-03-26,chinafans,0,0,0,Unknown,0,gamersnet.nl/o.htm,Linux,mirror
10,2019-03-26,chinafans,0,0,0,Unknown,0,psx-sense.nl/o.htm,Linux,mirror
11,2019-03-26,chinafans,0,M,0,Netherlands,0,rootbeat.nl/o.htm,Linux,mirror
12,2019-03-26,chinafans,0,0,0,Unknown,0,socialfollowing.nl/o.htm,Linux,mirror
13,2019-03-26,chinafans,0,M,0,Netherlands,0,ps3-sense.nl/o.htm,Linux,mirror
14,2019-03-25,Imam,0,0,1,Netherlands,0,www.otterdijk-bestratingen.nl/...,Linux,mirror
15,2019-03-25,Imam,0,0,0,European Union,0,www.le-sudrestaurant.nl/images...,Linux,mirror
16,2019-03-25,Imam,0,0,1,Netherlands,0,www.aandeplasoranje.nl/images/...,Linux,mirror
17,2019-03-25,Trenggalek Cyber Army,0,0,0,Netherlands,0,lennyart.nl/tgl.htm,Linux,mirror
18,2019-03-25,Trenggalek Cyber Army,0,0,0,Netherlands,0,www.ikev.nl/tgl.htm,Linux,mirror
19,2019-03-25,Imam,0,0,1,Netherlands,0,www.youngplants.nl/gang.gif,Linux,mirror
20,2019-03-25,Imam,0,0,1,Netherlands,0,www.dineritalia.nl/gang.gif,Linux,mirror
21,2019-03-25,Mister Spy,0,0,0,Netherlands,0,voc-heerhugowaard.nl/wp-conten...,Linux,mirror
22,2019-03-25,HelpMaster,0,0,1,Netherlands,0,vwr.nl/images/no.gif,Linux,mirror
23,2019-03-25,HelpMaster,0,0,1,Netherlands,0,indesteeg.nl/images/no.gif,Unknown,mirror
24,2019-03-25,HelpMaster,0,0,1,Netherlands,0,heemkundekringgemert.nl/images...,Linux,mirror
25,2019-03-25,HelpMaster,0,0,1,Netherlands,0,gestalt-therapie.nl/images/no.gif,Linux,mirror
26,2019-03-25,MR.5T1Y0,0,0,0,Netherlands,0,thijshendrikx.nl/pwn.php,Linux,mirror
27,2019-03-24,Mister Spy,0,M,0,Netherlands,0,judo-angeren.nl/spy.php,Linux,mirror
28,2019-03-24,Mister Spy,0,M,0,Netherlands,0,jiminmusic.nl/spy.php,Linux,mirror
29,2019-03-24,Mister Spy,0,M,0,Netherlands,0,bricks4alpedhuzes.nl/spy.php,Linux,mirror
30,2019-03-24,Mister Spy,0,M,0,Netherlands,0,fotogravinnen.nl/spy.php,Linux,mirror
31,2019-03-24,Mister Spy,0,M,0,Netherlands,0,interieurbouwschreur.nl/spy.php,Linux,mirror
32,2019-03-24,Mister Spy,0,M,0,Netherlands,0,cthtest.nl/spy.php,Linux,mirror
33,2019-03-24,Mister Spy,0,M,0,Netherlands,0,cthtest1.nl/spy.php,Linux,mirror
34,2019-03-24,Mister Spy,0,M,0,Netherlands,0,onequestion.nl/spy.php,Linux,mirror
35,2019-03-24,Mister Spy,0,M,0,Netherlands,0,stukkievakwerk.nl/spy.php,Linux,mirror
36,2019-03-24,Mister Spy,0,M,0,Netherlands,0,devorigeweek.nl/spy.php,Linux,mirror
37,2019-03-24,Mister Spy,0,M,0,Netherlands,0,sparerik.nl/spy.php,Linux,mirror
38,2019-03-24,Mister Spy,0,M,0,Netherlands,0,holistischepraktijkjoshanti.nl...,Linux,mirror
39,2019-03-24,Mister Spy,0,M,0,Netherlands,0,rjwerf.nl/spy.php,Linux,mirror
40,2019-03-24,Mister Spy,0,M,0,Netherlands,0,huidziektenutrecht.nl/spy.php,Linux,mirror
41,2019-03-24,Mister Spy,0,M,0,Netherlands,0,formulieren-pagina.nl/spy.php,Linux,mirror
42,2019-03-24,Mister Spy,0,M,0,Netherlands,0,pietenatelier.nl/spy.php,Linux,mirror
43,2019-03-24,Mister Spy,0,M,0,Netherlands,0,fvdwerf.nl/spy.php,Linux,mirror
44,2019-03-24,Mister Spy,0,M,0,Netherlands,0,joshanti.nl/spy.php,Linux,mirror
45,2019-03-24,Mister Spy,0,M,0,Netherlands,0,applicatieserver.nl/spy.php,Linux,mirror
