,Notifier,N_Count,Total_Attack,Single_Attack,Mass_Attack,Total_NL_Attack,Single_NL_Attack,Mass_NL_Attack,Ratio
0,DahiM,1,1,1,0,1,1,0,1
1,hijabers,1,1,1,0,1,1,0,1
2,TH4N0S,1,1,1,0,1,1,0,1
3,./D34TH!N0T3,2,5,5,0,2,2,0,0.4
4,./mh3s,1,3,3,0,1,1,0,0.333333333
5,FurkanGM,1,3,3,0,1,1,0,0.333333333
6,xBnMx,1,3,2,1,1,1,0,0.333333333
7,Indonesia Santet Crew,3,10,9,1,3,2,1,0.3
8,abdullah38,1,4,2,2,1,0,1,0.25
9,Mr.CrAcKeR,6,30,14,16,6,2,4,0.2
10,METRO LAMPUNG INDONESIA Cyber Team,2,13,13,0,2,2,0,0.153846154
11,d-makaveli,1,160,97,63,22,6,16,0.1375
12,ManToed,51,539,136,403,68,1,67,0.126159555
13,By Narkoz,1,8,0,8,1,0,1,0.125
14,MR.Donut,4,34,21,13,4,2,2,0.117647059
15,Kosova Hacker Army,2,109,41,68,12,2,10,0.110091743
16,Bla3k_D3vil,5,51,29,22,5,1,4,0.098039216
17,./NatsukiChan,7,72,41,31,7,6,1,0.097222222
18,Explosion Squad Cyber,10,118,59,59,11,1,10,0.093220339
19,Abu-Omar,1,11,9,2,1,1,0,0.090909091
20,Siraak_,5,60,40,20,5,0,5,0.083333333
21,Quizy Squad,3,38,21,17,3,1,2,0.078947368
22,Xsam Xadoo Bot,5,2937,2382,555,226,201,25,0.076949268
23,AnonGhost Indonesia,1,13,4,9,1,0,1,0.076923077
24,noyan_kaos,1,13,13,0,1,1,0,0.076923077
25,./er0sensei1337,2,230,73,157,15,2,13,0.065217391
26,Vaint,1,16,2,14,1,0,1,0.0625
27,K3L0T3X,1,3634,2340,1294,221,118,103,0.060814529
28,H4m1d Dumpp3r,1,17,17,0,1,1,0,0.058823529
29,tru dz,7,124,111,13,7,7,0,0.056451613
30,1923Turk,2,272799,43750,229049,14828,891,13937,0.054355038
31,Poisonus Virus,4,79,67,12,4,1,3,0.050632911
32,EgyptTop,4,84,78,6,4,3,1,0.047619048
33,djawa.hattab,1,2945,748,2197,140,33,107,0.0475382
34,By_DAVACI,1,1259,166,1093,55,4,51,0.043685465
35,RMX team,19,450,104,346,19,5,14,0.042222222
36,GR0V,172,4180,432,3748,172,2,170,0.041148325
37,R00T Intrud3r,1,25,6,19,1,1,0,0.04
38,Semtex,5,138,61,77,5,1,4,0.036231884
39,Phenix-TN,8,2870,2155,715,97,82,15,0.033797909
40,Mrb3hz4d,12,363,76,287,12,1,11,0.033057851
41,N3T1z3N,4,649,207,442,21,4,17,0.032357473
42,XwoLfTn,2,5422,2217,3205,174,85,89,0.032091479
43,mr.h4r1,2,63,27,36,2,0,2,0.031746032
44,HelpMaster,5,226,176,50,7,6,1,0.030973451
45,./Coco,1,1015,398,617,31,5,26,0.030541872
46,Red hell sofyan,1,632,324,308,19,7,12,0.030063291
47,EssesCyber7,1,35,22,13,1,0,1,0.028571429
48,Salman Hacker,1,1325,216,1109,37,5,32,0.027924528
49,God Attacker,34,1780,335,1445,49,7,42,0.02752809
50,Blacksmoke,1,37,15,22,1,1,0,0.027027027
51,Kareem_Hacker,4,1216,341,875,32,12,20,0.026315789
52,Mr.Kro0oz.305,24,40622,9358,31264,1037,281,756,0.025528039
53,zanakifre,1,510,137,373,13,10,3,0.025490196
54,Imam,98,27458,10717,16741,698,295,403,0.025420642
55,darkshadow-tn,1,21728,8799,12929,545,308,237,0.025082842
56,Moroccan Revolution,50,4265,1404,2861,106,38,68,0.024853458
57,./Mr. HanzID,1,246,70,176,6,4,2,0.024390244
58,kowalskyi,10,412,114,298,10,5,5,0.024271845
59,DeadsOul,3,461,374,87,11,11,0,0.023861171
60,crash-d4rk-h4cker,3,1904,853,1051,44,19,25,0.023109244
61,SynnX,18,2044,745,1299,46,13,33,0.022504892
62,h0d3_g4n,20,2125,1116,1009,47,31,16,0.022117647
63,jok3r,1,34317,20248,14069,755,572,183,0.022000758
64,./Mr-0mba404,6,602,326,276,13,12,1,0.021594684
65,Türk Börü Siber Tim,2,96,62,34,2,1,1,0.020833333
66,Mister Spy,66,17027,10509,6518,348,195,153,0.020438128
67,E1nzte1N,1,150,81,69,3,2,1,0.02
68,Wissem Mahfoud,5,305,231,74,6,6,0,0.019672131
69,Jax_BCD,9,466,179,287,9,2,7,0.019313305
70,suliman_hacker,6,8180,1537,6643,157,31,126,0.019193154
71,KkK1337,3,20887,10309,10578,400,247,153,0.019150668
72,Society-Squad,2,158,61,97,3,3,0,0.018987342
73,BabyMoon,1,54,17,37,1,0,1,0.018518519
74,ErrOr SquaD,64,63460,20099,43361,1163,154,1009,0.018326505
75,Turksiberkorsan,1,58,12,46,1,1,0,0.017241379
76,chinafans,27,88783,50656,38127,1491,764,727,0.016793756
77,RUTH72_,1,60,56,4,1,1,0,0.016666667
